Fecha;TasaTPIB;EuriborM;ParoT;SalarioMedio;IPC;C.TotalConsumo
31/01/2002;;3.483;;;-0.1;
28/02/2002;;3.594;;;0.1;
31/03/2002;0.4307;3.816;11.55;;0.8;
30/04/2002;;3.86;;;1.4;
31/05/2002;;3.963;;;0.4;
30/06/2002;0.8211;3.869;11.15;;0;
31/07/2002;;3.645;;;-0.7;
31/08/2002;;3.44;;;0.3;
30/09/2002;0.617;3.236;11.49;;0.4;
31/10/2002;;3.126;;;1;
30/11/2002;;3.017;;;0.2;
31/12/2002;0.7484;2.873;11.61;18601;0.3;432783
31/01/2003;;2.705;;;-0.4;
28/02/2003;;2.504;;;0.2;
31/03/2003;0.9365;2.411;11.99;;0.7;
30/04/2003;;2.447;;;0.8;
31/05/2003;;2.252;;;-0.1;
30/06/2003;0.5271;2.014;11.28;;0.1;
31/07/2003;;2.076;;;-0.6;
31/08/2003;;2.279;;;0.5;
30/09/2003;0.66;2.258;11.3;;0.3;
31/10/2003;;2.303;;;0.7;
30/11/2003;;2.41;;;0.3;
31/12/2003;0.8522;2.381;11.37;19385;0.2;457473
31/01/2004;;2.216;;;-0.7;
29/02/2004;;2.163;;;0;
31/03/2004;0.6086;2.055;11.5;;0.7;
30/04/2004;;2.163;;;1.4;
31/05/2004;;2.297;;;0.6;
30/06/2004;0.9833;2.404;11.09;;0.2;
31/07/2004;;2.361;;;-0.8;
31/08/2004;;2.302;;;0.4;
30/09/2004;0.9412;2.377;10.74;;0.2;
31/10/2004;;2.316;;;1;
30/11/2004;;2.328;;;0.2;
31/12/2004;0.6718;2.301;10.53;20045;-0.1;492934
31/01/2005;;2.312;;;-0.8;
28/02/2005;;2.31;;;0.3;
31/03/2005;0.9816;2.335;10.17;;0.8;
30/04/2005;;2.265;;;1.4;
31/05/2005;;2.193;;;0.2;
30/06/2005;0.8886;2.103;9.32;;0.2;
31/07/2005;;2.168;;;-0.6;
31/08/2005;;2.223;;;0.4;
30/09/2005;0.9675;2.219;8.41;;0.6;
31/10/2005;;2.414;;;0.8;
30/11/2005;;2.684;;;0.2;
31/12/2005;1.0015;2.783;8.71;20616;0.2;530024
31/01/2006;;2.833;;;-0.4;
28/02/2006;;2.914;;;0;
31/03/2006;1.15;3.105;9.03;;0.7;
30/04/2006;;3.221;;;1.4;
31/05/2006;;3.308;;;0.4;
30/06/2006;0.9754;3.401;8.44;;0.2;
31/07/2006;;3.539;;;-0.6;
31/08/2006;;3.615;;;0.2;
30/09/2006;0.9299;3.715;8.08;;-0.2;
31/10/2006;;3.799;;;0.4;
30/11/2006;;3.864;;;0.2;
31/12/2006;0.9489;3.921;8.26;21168;0.3;570855
31/01/2007;;4.064;;;-0.7;
28/02/2007;;4.094;;;0.1;
31/03/2007;0.9203;4.106;8.42;;0.8;
30/04/2007;;4.253;;;1.4;
31/05/2007;;4.373;;;0.3;
30/06/2007;0.9027;4.505;7.93;;0.2;
31/07/2007;;4.564;;;-0.7;
31/08/2007;;4.666;;;0.1;
30/09/2007;0.7675;4.724;8.01;;0.3;
31/10/2007;;4.647;;;1.3;
30/11/2007;;4.607;;;0.7;
31/12/2007;0.63;4.793;8.57;21989;0.4;609744
31/01/2008;;4.498;;;-0.6;
29/02/2008;;4.349;;;0.2;
31/03/2008;0.2214;4.59;9.6;;0.9;
30/04/2008;;4.82;;;1.1;
31/05/2008;;4.994;;;0.7;
30/06/2008;0.1154;5.361;10.36;;0.6;
31/07/2008;;5.393;;;-0.5;
31/08/2008;;5.323;;;-0.2;
30/09/2008;-0.1827;5.384;11.23;;0;
31/10/2008;;5.248;;;0.3;
30/11/2008;;4.35;;;-0.4;
31/12/2008;-1.6272;3.452;13.79;23252;-0.5;627013
31/01/2009;;2.622;;;-1.2;
28/02/2009;;2.135;;;0;
31/03/2009;-2.6003;1.909;17.24;;0.2;
30/04/2009;;1.771;;;1;
31/05/2009;;1.644;;;0;
30/06/2009;-0.0045;1.61;17.77;;0.4;
31/07/2009;;1.412;;;-0.9;
31/08/2009;;1.334;;;0.3;
30/09/2009;0.2136;1.261;17.75;;-0.2;
31/10/2009;;1.243;;;0.7;
30/11/2009;;1.231;;;0.5;
31/12/2009;-0.0349;1.242;18.66;24164;0;598490
31/01/2010;;1.232;;;-1;
28/02/2010;;1.225;;;-0.2;
31/03/2010;-0.0223;1.215;19.84;;0.7;
30/04/2010;;1.225;;;1.1;
31/05/2010;;1.249;;;0.2;
30/06/2010;0.1562;1.281;19.89;;0.2;
31/07/2010;;1.373;;;-0.4;
31/08/2010;;1.421;;;0.3;
30/09/2010;-0.0486;1.42;19.59;;0.1;
31/10/2010;;1.495;;;0.9;
30/11/2010;;1.54;;;0.5;
31/12/2010;0.0523;1.526;20.11;24786;0.6;612349
31/01/2011;;1.55;;;-0.7;
28/02/2011;;1.714;;;0.1;
31/03/2011;-0.15;1.924;21.08;;0.7;
30/04/2011;;2.086;;;1.2;
31/05/2011;;2.147;;;0;
30/06/2011;-0.3105;2.144;20.64;;-0.1;
31/07/2011;;2.183;;;-0.5;
31/08/2011;;2.097;;;0.1;
30/09/2011;-0.6458;2.067;21.28;;0.2;
31/10/2011;;2.11;;;0.8;
30/11/2011;;2.044;;;0.4;
31/12/2011;-0.663;2.004;22.56;25515;0.1;611386
31/01/2012;;1.837;;;-1.1;
29/02/2012;;1.678;;;0.1;
31/03/2012;-0.9313;1.499;24.19;;0.7;
30/04/2012;;1.368;;;1.4;
31/05/2012;;1.266;;;-0.1;
30/06/2012;-0.9584;1.219;24.4;;-0.2;
31/07/2012;;1.061;;;-0.2;
31/08/2012;;0.877;;;0.6;
30/09/2012;-0.5197;0.74;24.79;;1;
31/10/2012;;0.65;;;0.8;
30/11/2012;;0.588;;;-0.1;
31/12/2012;-0.7408;0.549;25.77;25894;0.1;602781
31/01/2013;;0.575;;;-1.3;
28/02/2013;;0.594;;;0.2;
31/03/2013;-0.3076;0.545;26.94;;0.4;
30/04/2013;;0.528;;;0.4;
31/05/2013;;0.484;;;0.2;
30/06/2013;-0.0882;0.507;26.06;;0.1;
31/07/2013;;0.525;;;-0.5;
31/08/2013;;0.542;;;0.3;
30/09/2013;-0.0368;0.543;25.65;;-0.2;
31/10/2013;;0.541;;;0.4;
30/11/2013;;0.506;;;0.2;
31/12/2013;0.1661;0.543;25.73;26027;0.1;590837
31/01/2014;;0.562;;;-1.3;
28/02/2014;;0.549;;;0;
31/03/2014;0.3675;0.577;25.93;;0.2;
30/04/2014;;0.604;;;0.9;
31/05/2014;;0.592;;;0;
30/06/2014;0.4711;0.513;24.47;;0;
31/07/2014;;0.488;;;-0.9;
31/08/2014;;0.469;;;0.2;
30/09/2014;0.7343;0.362;23.67;;0.2;
31/10/2014;;0.338;;;0.5;
30/11/2014;;0.335;;;-0.1;
31/12/2014;0.8592;0.329;23.7;26191;-0.6;601586
31/01/2015;;0.298;;;-1.6;
28/02/2015;;0.255;;;0.2;
31/03/2015;1.1476;0.212;23.78;;0.6;
30/04/2015;;0.18;;;0.9;
31/05/2015;;0.165;;;0.5;
30/06/2015;1.0788;0.163;22.37;;0.3;
31/07/2015;;0.167;;;-0.9;
31/08/2015;;0.161;;;-0.3;
30/09/2015;0.9058;0.154;21.18;;-0.3;
31/10/2015;;0.128;;;0.6;
30/11/2015;;0.079;;;0.4;
31/12/2015;0.9731;0.059;20.9;26475;-0.3;618514
31/01/2016;;0.042;;;-1.9;
29/02/2016;;-0.008;;;-0.4;
31/03/2016;0.6802;-0.012;21;;0.6;
30/04/2016;;-0.01;;;0.7;
31/05/2016;;-0.013;;;0.5;
30/06/2016;0.4149;-0.028;20;;0.5;
31/07/2016;;-0.056;;;-0.7;
31/08/2016;;-0.048;;;0.1;
30/09/2016;0.8565;-0.057;18.91;;0;
31/10/2016;;-0.069;;;1.1;
30/11/2016;;-0.074;;;0.4;
31/12/2016;0.5441;-0.08;18.63;26449;0.6;636323
31/01/2017;;-0.095;;;-0.5;
28/02/2017;;-0.106;;;-0.4;
31/03/2017;0.7852;-0.11;18.75;;0;
30/04/2017;;-0.119;;;1;
31/05/2017;;-0.127;;;-0.1;
30/06/2017;1.0242;-0.149;17.22;;0;
31/07/2017;;-0.154;;;-0.7;
31/08/2017;;-0.156;;;0.2;
30/09/2017;0.6296;-0.168;16.38;;0.2;
31/10/2017;;-0.18;;;0.9;
30/11/2017;;-0.189;;;0.5;
31/12/2017;0.5393;-0.19;16.55;26550;0;666148
31/01/2018;;-0.189;;;-1.1;
28/02/2018;;-0.191;;;0.1;
31/03/2018;0.427;-0.191;16.74;;0.1;
30/04/2018;;-0.19;;;0.8;
31/05/2018;;-0.188;;;0.9;
30/06/2018;0.5859;-0.181;15.28;;0.3;
31/07/2018;;-0.18;;;-0.7;
31/08/2018;;-0.169;;;0.1;
30/09/2018;0.5204;-0.166;14.55;;0.2;
31/10/2018;;-0.154;;;0.9;
30/11/2018;;-0.147;;;-0.1;
31/12/2018;0.6594;-0.129;14.45;26922;-0.4;688061
31/01/2019;;-0.116;;;-1.3;
28/02/2019;;-0.108;;;0.2;
31/03/2019;0.6089;-0.109;14.7;;0.4;
30/04/2019;;-0.112;;;1;
31/05/2019;;-0.134;;;0.2;
30/06/2019;0.3461;-0.19;14.02;;-0.1;
31/07/2019;;-0.283;;;-0.6;
31/08/2019;;-0.356;;;-0.1;
30/09/2019;0.2951;-0.339;13.92;;0;
31/10/2019;;-0.304;;;1;
30/11/2019;;-0.272;;;0.2;
31/12/2019;0.2171;-0.261;13.78;27292;-0.1;701308
